Date,AAPL,JPM,PG,FDX,MMM,^GSPC
2013-05-23,13.709450721740723,40.33827590942383,58.87005615234375,88.71439361572266,81.23063659667969,1650.510009765625
2013-05-24,13.802783012390137,40.57266616821289,61.24880599975586,87.56852722167969,81.12765502929688,1649.5999755859375
2013-05-28,13.68774700164795,41.28340530395508,60.485801696777344,86.41370391845703,82.09880065917969,1660.06005859375
2013-05-29,13.79658031463623,41.336334228515625,59.0196647644043,86.4316177368164,81.76034545898438,1648.3599853515625
2013-05-30,14.002158164978027,42.05463409423828,59.16181182861328,86.40474700927734,81.97371673583984,1654.4100341796875
2013-05-31,13.944798469543457,41.27585220336914,57.418888092041016,86.24363708496094,81.12765502929688,1630.739990234375
2013-06-03,13.975494384765625,41.20023727416992,58.09212112426758,87.46109771728516,81.37777709960938,1640.4200439453125
2013-06-04,13.931775093078613,40.859989166259766,57.87517166137695,88.06982421875,80.94371795654297,1631.3800048828125
2013-06-05,13.801544189453125,40.09632873535156,57.34408950805664,86.91500091552734,79.89163970947266,1608.9000244140625
2013-06-06,13.595344543457031,40.451698303222656,57.46375274658203,86.69121551513672,79.95050048828125,1622.56005859375
2013-06-07,13.699219703674316,41.03388977050781,58.159423828125,89.32310485839844,81.74565124511719,1643.3800048828125
2013-06-10,13.608678817749023,41.10193634033203,58.398799896240234,88.32046508789062,81.52493286132812,1642.81005859375
2013-06-11,13.568678855895996,40.44414138793945,58.43620300292969,87.76546478271484,81.09086608886719,1626.1300048828125
2013-06-12,13.400931358337402,40.209739685058594,58.04720687866211,87.27311706542969,80.2153549194336,1612.52001953125
2013-06-13,13.517829895019531,40.95827102661133,58.668087005615234,89.28144836425781,81.81185913085938,1636.3599853515625
2013-06-14,13.334577560424805,40.17192840576172,58.36884689331055,88.86902618408203,81.68678283691406,1626.72998046875
2013-06-17,13.39504337310791,40.71631622314453,59.06455993652344,88.23246765136719,82.33423614501953,1639.0400390625
2013-06-18,13.387907981872559,40.91291427612305,59.12439727783203,89.19178771972656,83.11406707763672,1651.81005859375
2013-06-19,13.115979194641113,40.489505767822266,58.05470657348633,90.14217376708984,82.0840835571289,1628.9300537109375
2013-06-20,12.924973487854004,39.68046951293945,56.28935241699219,85.81168365478516,80.03140258789062,1588.18994140625
2013-06-21,12.8214111328125,39.28728485107422,57.920066833496094,86.4841079711914,80.62734985351562,1592.4300537109375
2013-06-24,12.481571197509766,38.50094223022461,57.28422546386719,85.98204040527344,79.08972930908203,1573.0899658203125
2013-06-25,12.484362602233887,39.37802505493164,57.36651611328125,87.1386489868164,79.6341323852539,1588.030029296875
2013-06-26,12.342973709106445,39.695587158203125,57.89760971069336,88.19657897949219,80.69357299804688,1603.260009765625
2013-06-27,12.209954261779785,40.18705368041992,58.099578857421875,89.0931625366211,81.1055679321289,1613.199951171875
2013-06-28,12.295221328735352,39.914859771728516,57.590919494628906,88.38487243652344,80.45075988769531,1606.280029296875
2013-07-01,12.688698768615723,39.688026428222656,58.36138916015625,88.66279602050781,80.4213638305664,1614.9599609375
2013-07-02,12.976134300231934,40.21354293823242,58.67558288574219,88.10693359375,79.99464416503906,1614.0799560546875
2013-07-03,13.047762870788574,40.19070053100586,58.772823333740234,87.65859985351562,80.52435302734375,1615.4100341796875
2013-07-05,12.942956924438477,41.119876861572266,58.60078048706055,88.72557067871094,82.06198120117188,1631.8900146484375
2013-07-08,12.869471549987793,41.66061782836914,58.91494369506836,88.6090316772461,82.49608612060547,1640.4599609375
2013-07-09,13.095824241638184,41.805328369140625,59.52086639404297,92.48223114013672,83.39366149902344,1652.3199462890625
2013-07-10,13.045589447021484,41.75961685180664,59.69290542602539,92.34773254394531,83.45252990722656,1652.6199951171875
2013-07-11,13.248994827270508,41.99574279785156,60.41848373413086,93.60296630859375,84.2618179321289,1675.02001953125
2013-07-12,13.224809646606445,41.86625289916992,61.00194549560547,91.71117401123047,84.71060180664062,1680.18994140625
2013-07-15,13.25364875793457,41.805328369140625,60.97202682495117,92.97534942626953,84.49724578857422,1682.5
2013-07-16,13.339227676391602,41.8967170715332,60.568115234375,92.80500030517578,84.12200927734375,1676.260009765625
2013-07-17,13.34264087677002,42.094749450683594,60.358585357666016,93.4774398803711,84.3427505493164,1680.9100341796875
2013-07-18,13.387598991394043,42.932533264160156,60.516868591308594,97.42239379882812,84.96073150634766,1689.3699951171875
2013-07-19,13.176441192626953,42.772579193115234,61.323246002197266,96.8575439453125,85.48309326171875,1692.0899658203125
2013-07-22,13.218608856201172,43.077213287353516,61.21018981933594,96.60650634765625,85.54928588867188,1695.530029296875
2013-07-23,12.991636276245117,43.1610107421875,61.0067024230957,95.74578857421875,85.89508056640625,1692.3900146484375
2013-07-24,13.658909797668457,43.130550384521484,60.49424362182617,94.92990112304688,85.58612060546875,1685.93994140625
2013-07-25,13.596586227416992,43.031532287597656,60.59974670410156,94.02436065673828,85.7479476928711,1690.25
2013-07-26,13.673792839050293,42.68879699707031,60.58466720581055,93.76432800292969,86.01283264160156,1691.6500244140625
2013-07-29,13.884639739990234,42.41462326049805,60.358585357666016,92.69740295410156,85.7920913696289,1685.3299560546875
2013-07-30,14.056112289428711,42.14044189453125,60.622344970703125,92.8498306274414,85.96131134033203,1685.9599609375
2013-07-31,14.031612396240234,42.44509506225586,60.516868591308594,95.0374755859375,86.3953857421875,1685.72998046875
2013-08-01,14.160293579101562,43.061988830566406,61.52669906616211,98.62379455566406,87.11640930175781,1706.8699951171875
2013-08-02,14.341994285583496,43.023929595947266,61.26294708251953,97.86170196533203,87.00601959228516,1709.6700439453125
