,Date,Open,High,Low,Close,Adj Close,Volume,Return,Log Return
0,2013-05-23,98.62999725341797,99.70999908447266,98.0,99.0999984741211,88.71439361572266,1649000,,
1,2013-05-24,98.66999816894531,98.66999816894531,97.3499984741211,97.81999969482422,87.56852722167969,2543100,-0.012916352660949593,-0.013000494062603528
2,2013-05-28,98.81999969482422,99.0999984741211,95.97000122070312,96.52999877929688,86.41370391845703,4178600,-0.01318765245759157,-0.01327538169503588
3,2013-05-29,96.4800033569336,97.5,96.08000183105469,96.55000305175781,86.4316177368164,2446000,0.00020730298028048821,0.0002072814959867924
4,2013-05-30,96.75,97.0999984741211,95.87999725341797,96.5199966430664,86.40474700927734,2947600,-0.00031089002199269355,-0.00031093835831402713
5,2013-05-31,96.25,97.97000122070312,96.12000274658203,96.33999633789062,86.24363708496094,2273500,-0.001864595753044762,-0.0018663362756230885
6,2013-06-03,96.51000213623047,97.70999908447266,96.0199966430664,97.69999694824219,87.46109771728516,2263600,0.014116527009695456,0.014017816721924222
7,2013-06-04,97.63999938964844,99.0,97.44999694824219,98.37999725341797,88.06982421875,3045500,0.006959968687250351,0.006935859904792715
8,2013-06-05,98.0,98.19999694824219,96.18000030517578,97.08999633789062,86.91500091552734,2174500,-0.013112587807082243,-0.0131993167817427
9,2013-06-06,97.01000213623047,97.5199966430664,95.63999938964844,96.83999633789062,86.69121551513672,2478500,-0.0025747615260123258,-0.002578081925185522
10,2013-06-07,97.73999786376953,99.83999633789062,97.4800033569336,99.77999877929688,89.32310485839844,2508400,0.030359354493099344,0.029907629251706053
11,2013-06-10,99.86000061035156,99.9800033569336,98.54000091552734,98.66000366210938,88.32046508789062,1842300,-0.01122486474353157,-0.011288338977907727
12,2013-06-11,97.61000061035156,98.79000091552734,97.11000061035156,98.04000091552734,87.76546478271484,1563000,-0.006283937755801938,-0.0063037647975679135
13,2013-06-12,98.58000183105469,98.9000015258789,97.27999877929688,97.48999786376953,87.27311706542969,1289900,-0.005609811541522403,-0.005625605629890481
14,2013-06-13,97.41000366210938,99.8499984741211,97.0999984741211,99.58000183105469,89.28144836425781,1424300,0.023012026685404807,0.02275124319110307
15,2013-06-14,99.51000213623047,100.75,98.72000122070312,99.12000274658203,88.86902618408203,1534900,-0.004619349122710781,-0.004630051286608868
